id,醫事機構名稱,醫事機構地址,Response_X,Response_Y
31,澄清綜合醫院中港分院,台中市西屯區臺灣大道４段９６６號,211091.416,2675327.103
32,友仁醫院,台中市南屯區五權西路２段１９７號,214378.647,2670553.444
33,聯安醫院,台中市北屯區東光里東山路一段３７號,219441.241,2673956.966
34,全民醫院,台中市北屯區中清路二段５１６號,216125.454,2675179.41
35,博愛外科醫院,台中市北屯區文心路３段４３１號,216261.63,2674278.384
36,豐安醫院,台中市豐原區中正路１１５號,221634.47,2682922.367
37,福平醫院,台中市豐原區豐原里中正路７１號,221721.272,2683018.206
38,漢忠醫院,台中市豐原區中正路２１８號,221338.73,2682958.04
39,新惠生醫院,台中市豐原區圓環北路一段３１９號,221521.429,2683686.91
40,祥恩醫院,台中市豐原區中興路３５號,221326.875,2682533.91
41,協和醫院,台中市東勢區延平里豐勢路３１８號,232720.089,2683059.972
42,順安醫院,台中市大甲區光明路６號,212007.959,2693139.189
43,清濱醫院,台中市清水區港埠路４段１９５號,204203.426,2686452.967
44,明德醫院,台中市梧棲區中正里仁美街３３巷５０號,202859.666,2683202.279
45,忠港醫院,台中市梧棲區文化里中興路４９號,202888.534,2683068.012
46,大雅澄清醫院,台中市大雅區員林里中清路３段２４–２號,213943.23,2680185.548
47,清海醫院,台中市石岡區金星里石岡街下坑巷４１–２號,227243.56,2682317.592
48,烏日澄清醫院,台中市烏日區前竹里光明路４１９號,214438.328,2667374.416
49,霧峰澄清醫院,台中市霧峰區甲寅里中正路１１２９號,219440.209,2662809.802
50,本堂澄清醫院,台中市霧峰區中正路７１８號,219138.815,2660990.483
51,泰安醫院,台中市霧峰區本堂里中正路九二八號,219336.098,2662185.998
52,新菩提醫院,台中市大里區中興路２段６２１號,218440.7,2667811.569
53,聯合中醫醫院,台中市北屯區大連路２段３６號,217805.496,2674545.223
54,大同中醫醫院,台中市豐原區下街里仁愛街１１號,221315.07,2683007.319
55,天心中醫醫院,台中市豐原區田心里中山路２０６號,220790.511,2681697.844
56,臺中市南區衛生所,台中市南區工學路７２號２樓,215824.632,2668031.527
57,台中市北屯區軍功衛生所,台中市北屯區軍功路二段１６號,221503.85,2674564.594
58,台中市北屯區四民衛生所,台中市北屯區后庄路１０６２號,217559.315,2676400.85
59,臺中市后里區衛生所,台中市后里區墩西里公安路８６號,220601.114,2688851.64
60,臺中市外埔區衛生所,台中市外埔區大同里甲后路４４４號,215013.1,2691646.089
61,台中市霧峰區衛生所,台中市霧峰區本堂里民生路１－９號,219567.157,2661789.626
62,國軍臺中總醫院民眾診療附設成功嶺門診部,台中市烏日區中山路三段５０２號,209380.062,2667387.645
63,經濟部加工出口區管理處台中分處衛生保健所,台中市潭子區潭秀里南環路６號１樓,219990.458,2679033.443
64,台灣電力股份有限公司台中發電廠醫務室,台中市龍井區龍昌路１號,198405.706,2678845.478
65,中國醫藥大學附設醫院豐原醫務室,台中市豐原區中正路１９３號１－５樓,221410.416,2682949.089
66,蔡醫師小兒科診所,台中市太平區宜昌里１３鄰宜昌路５５６號１樓,221108.097,2671399.816
67,潘耳鼻喉科診所,台中市中區大墩里三民路二段５７號,217310.059,2670729.089
68,黃小兒科診所,台中市中區繼榮里民權路６４號,217559.046,2670276.986
69,蔡外科診所,台中市中區愛松里民族路１９８－１號,217058.769,2670906.074
70,吳眼科診所,台中市中區重慶里市府路７３號,217491.655,2670543.72
71,陳皮膚科診所,台中市中區台灣大道一段５４２號 １樓,217168.158,2671113.953
72,楊皮膚科診所,台中市中區大墩里民族路１５５號,217241.557,2670686.544
73,全生內兒科診所,台中市中區柳原里公園路３０－１號,217597.377,2671155.083
74,蔡家庭醫學科診所,台中市中區中墩里三民路二段１１６號８樓之２,217525.953,2670911.169
75,康寧皮膚泌尿科診所,台中市中區錦花里平等街１４０號,217720.367,2670898.344
76,王守典婦產科外科診所,台中市中區博松里中山路３６０號,217018.869,2671090.055
77,許金吉婦產科診所,台中市中區繼光里繼光街１５５號,217913.155,2670652.714
78,全佑外科婦產科診所,台中市中區重慶里市府路１４１號,217742.117,2670800.705
79,賴婦產科診所,台中市中區東墩里三民路三段４１號,217686.706,2671175.822
80,江啟鋒診所,台中市中區中墩里三民路２段１５１號,217534.386,2670963.864
81,陳盛全婦產科診所,台中市中區中榮里中華路１段１３２號,217199.738,2671163.453
82,張小兒科診所,台中市中區重慶里市府路１６號,217481.795,2670498.379
83,洪志青診所,台中市中區民族路９５號,217401.867,2670532.852
84,王守仁診所,台中市中區正音里柳川西路三段２０號,217152.352,2670877.739
85,正心診所,台中市中華路１段１０７號１樓,203620.31,2675196.859
86,仁康診所,台中市中區成功路７７號１樓,217826.676,2670579.566
87,黃迎凱婦產科診所,台中市中區光復路５６號１至３樓,217807.571,2670791.446
88,夏幸賢診所,台中市中區民權路１５４號１樓,217167.057,2670650.705
89,詹東霖心身診所,台中市中區民權路１２２號１樓,217242.272,2670581.5
90,芳英婦幼診所,台中市中區平等街７號１、２、３、４、５樓、地下１樓,217320.128,2670519.825
91,協和外科診所,台中市東區新庄里大公街１號,218009.956,2670016.327
92,明仁眼科診所,台中市東區新庄里台中路６５號,217825.845,2669900.947
93,楊外科婦產科診所,台中市東區祖聖里進化路９６號,218971.03,2671040.85
94,晟安診所,台中市東區合作里力行路７６號,219016.252,2671798.953
95,林士新婦產科診所,台中市東區朱文里復興路四段２０７號,218213.024,2670167.827
96,榮生診所,台中市東區合作里力行路８０－５號,218986.772,2671803.213
97,建成診所,台中市東區曙峰里忠孝路２２７號,218281.795,2669708.578
98,彭耳鼻喉科診所,台中市東區新庄里復興路四段５４號,217913.348,2669994.608
99,黃純義內小兒科診所,台中市東區新庄里復興路４段４９號,217893.556,2670023.097
100,明全診所,台中市東區泉源里建成路３３２－１號,219136.842,2670540.727
101,蕭小兒科診所,台中市東區十甲東路８１５號,220556.198,2671581.541
102,大智診所,台中市東區翰第里大智路３５號,218338.885,2670080.858
103,劉遠然家庭醫學科診所,台中市東區精武路６１號,219069.022,2671425.623
104,懷恩診所,台中市東區台中路６７號,217827.636,2669896.827
105,來來診所,台中市東區東勢里精武路１０４號,218882.179,2671487.523
106,忠純診所,台中市東區東興里建成路７２１號,218381.915,2669549.5
107,劉可毅婦產科診所,台中市東區十甲里十甲路４１４號,220113.337,2671073.943
108,朝煌診所,台中市東區東明里精武路１１７號,218846.829,2671412.298
109,劉以文診所,台中市東區旱溪東路一段355.356號１.2樓,219614.263,2671210.265
110,林俊文診所,台中市東區東勢里進化路２０１–１號,218921.147,2671139.524
111,兆揚內科診所,台中市東區十甲里十甲路４２６號１．２Ｆ,220113.337,2671073.943
112,惟康耳鼻喉科診所,台中市東區建成路６６２號１樓,218546.214,2669679.694
113,全威診所,台中市東區合作里力行路４５號,219119.842,2671762.813
114,玉山皮膚科診所,台中市東區東南里進化路２０２–７號１樓,218962.143,2671092.705
115,惠民聯合診所,台中市東區台中路８５號１樓,217841.396,2669863.219
116,立仁診所,台中市東區建成路７７５號１樓,218157.056,2669450.98
117,高嘉君保漾皮膚科診所,台中市東區台中路３１號１．２樓,217777.807,2670000.068
118,育民診所,台中市東區台中路７３號１樓,217827.736,2669881.077
119,福仁診所,台中市東區福仁街１４６號１．２樓,218466.624,2671049.935
120,明功堂精神科診所,台中市東區自由路三段２７６號１樓,218861.253,2670840.535
121,安康診所,台中市東區進化路２２９號１樓,218924.162,2671873.742
122,佑佑診所,台中市東區十甲路５０１號１樓。,220604.046,2671074.765
123,健民婦產科診所,台中市西區中興里美村路一段２７９號,215637.462,2671392.833
124,陳神洲外科診所,台中市西區吉龍里美村路一段６２６號,215596.393,2670219.575
125,劉增安診所,台中市西區中興里向上路１段１８８號,215511.554,2671327.453
126,宏輝內兒科診所,台中市西區南屯路１段３６－１號１樓,216130.092,2669717.617
127,徐小兒科診所,台中市西區忠誠里華美西街一段２０６－１號,215692.592,2672954.697
128,陳德憲診所,台中市西區永龍里模範街３巷９－１號,216070.005,2671385.728
129,黃俊卿診所,台中市西區和龍里日新街７７－１號,216745.079,2671766.071
130,詹外科診所,台中市西區靖龍里民權路２３１號,216420.81,2671602.151
131,吳岱治耳鼻喉科診所,台中市西區平龍里成功路４７９號,216910.719,2671458.112
132,高小兒科診所,台中市西區美村路１段５６５號１樓,215631.402,2670505.666
133,張崇信診所,台中市西區公民里五廊街３４號,216407.491,2670674.674
134,林金星診所,台中市西區中興里公正路１７７號,215509.244,2671551.333
135,曜廷診所,台中市西區中興里向上北路１６６號,215667.553,2671455.322
136,陳哲信診所,台中市西區永龍里向上路一段４０號,216094.071,2671329.822
137,黃內兒科診所,台中市西區公益里向上北路１９７號,215451.413,2671453.191
138,蔡嘉恩外婦科診所,台中市西區和龍里日新街８０號,216735.149,2671790.782
139,陳泌尿科外科診所,台中市西區平和里中華路一段３－５號,216755.88,2670757.785
140,蔡小兒科診所,台中市西區安龍里五權路２－６２號,216111.714,2670634.379
141,林漢鐙內科小兒科診所,台中市西區吉龍里五權五街７４號,215655.206,2670204.651
142,王起三診所,台中市西區廣民里樂群街６１－１號,216654.359,2670384.336
143,陳耳鼻喉科診所,台中市西區公正里精誠２２街４４號,214808.076,2671656.142
144,劉彥山診所,台中市西區向上路一段３６１號,215046.415,2671290.433
145,崇義整形外科診所,台中市西區三民里三民路一段１７０號,216948.831,2670305.671
146,鴻欣婦產科診所,台中市西區文化街１５６號二樓之１,216626.69,2671956.702
147,世鴻耳鼻喉科診所,台中市西區美村路一段３８０號.３８２號１樓,215599.803,2671071.833
148,吳東洀小兒科診所,台中市西區美村路一段３６２號一樓,215595.022,2671112.572
149,鄭煒達診所,台中市西區公益路２１４號１樓及２樓,215037.915,2671789.581
150,邱永明小兒科診所,台中市西區土庫里忠明南路４６５號,215192.984,2670275.325
151,雙安耳鼻喉科診所,台中市西區向上路１段２７０號,215237.624,2671330.953
152,陳正和耳鼻喉科診所,台中市西區向上路一段２２６號,215368.924,2671335.191
153,簡內科診所,台中市西區福龍里民族路３４２號,216717.19,2671228.214
154,吳翠惠婦產科診所,台中市西區安龍里五權路２９－８號,216451.641,2671062.574
155,漢陽內科診所,台中市西區福壽里建國路６３號,217628.537,2670087.808
156,信望愛眼科診所,台中市西區美村路１段１３８號１樓及２樓,215602.893,2671791.581
157,三泰診所,台中市西區向上路一段２６８號１樓,215248.454,2671330.953
158,向上復健科診所,台中市西區向上路一段451號2樓453號一樓,214822.685,2671292.333
159,賴愈凱婦產科診所,台中市西區柳川東路二段１４９號１樓２樓,216437.465,2670373.142
160,三世聯合診所簡國藩眼科診所,台中市西區五權路２９號２樓,216426.91,2671035.955
161,向陽眼科診所,台中市西區公正里向上路一段４３８–１號,214939.495,2671293.063
162,十方復健科診所,台中市西區公正里精誠路１９５號,214934.215,2671725.211
163,吳榮峰小兒科診所,台中市西區公益路２５２號,214924.415,2671801.321
164,鄒幼君皮膚科診所,台中市西區公益路２２６號,215012.355,2671789.702
165,陳順清耳鼻喉科診所,台中市西區林森路９８–３，９８–５號１樓,217047.709,2669847.907
166,世紀聯合門診崇安診所,台中市西區忠明里健行路１０５６．１０５８號２－３Ｆ,215707.522,2672322.33
167,人人診所,台中市西區林森路２３９號１Ｆ,216246.581,2670549.336
168,中美偕診所,台中市西區昇平里中美街１４５號,215454.543,2671205.054
169,劉義昇診所,台中市西區公益路２３８號,214987.204,2671789.702
170,林孟賢婦產科診所,台中市西區公民里民生路１４５之４號,216604.5,2670820.574
171,王道文聯合門診王道文小兒科診所,台中市西區忠誠里太原路一段３８號１樓,215309.874,2672690.938
172,周家齊診所,台中市西區公正里向上路１段５０８號１–２樓,214611.285,2671337.563
173,阮春閔小兒科診所,台中市西區南屯路１段１４８號１Ｆ,215523.624,2669777.827
174,施英富婦產科診所,台中市西區公正里東興路３段２２６．２２８．２３０號１．２樓,214756.736,2671732.722
175,理想美整形外科診所,台中市西區安龍里林森路２３９號２樓,216162.722,2670684.455
176,廣澤皮膚科診所,台中市西區公正里向上路１段３９２號１樓,214939.495,2671293.063
177,達康診所,台中市西區永龍里英才路５０９號１．２．３樓,216002.511,2671409.453
178,劉昭賢精神科診所,台中市西區向上路１段３６０號１樓,215094.565,2671333.213
179,林永大耳鼻喉科診所,台中市西區吉龍里美村路1段717號,215634.453,2669971.827
180,賴憲宏皮膚科診所,台中市西區昇平里向上路１段２７９號１樓,215286.334,2671292.072
181,廖錫勳皮膚科診所,台中市西區公正里公益路３６１號,214873.255,2671738.782
182,劉忠俊婦產科診所,台中市西區臺灣大道２段 ３７５號６樓之１、２、３ ,215878.883,2672150.105
183,建州皮膚科診所,台中市西區吉龍里美村路１段６５８號１Ｆ,215597.193,2670128.916
184,日月明眼科診所,台中市西區昇平里向上路一段１１８號之２,215683.492,2671292.784
185,蔡文仁診所,台中市西區安龍里五權路２－１號,216345.121,2670878.955
186,蔡芬苓小兒科診所,台中市西區太原路一段２１２之１號１Ｆ,215655.962,2673121.606
187,台杏診所,台中市西區臺灣大道２段１８１號１０樓之１、之２,216281.878,2671873.571
188,張錫勳聯合診所,"台中市西區忠明里美村路１段１０５號1,2樓",215639.152,2671944.952
189,曙光小兒科診所,台中市西區五權西三街８１號１樓,215771.799,2670251.057
190,賴永章小兒科診所,台中市西區大全街４１號,216476.271,2669992.958
191,劉俊宏小兒科診所,台中市西區向上路１段４５６號１樓,214795.136,2671333.163
192,莊明維診所,台中市西區健行路１００６號２樓之２,215799.321,2672484.24
193,大同診所,台中市西區樂群街５９號１樓,216666.606,2670401.402
194,家妍診所,台中市西區忠明里美村路一段６５號１–４樓,215641.242,2672070.811
195,惠生小兒科診所,台中市西區五權路二○一號一樓,216092.981,2669810.458
196,英采眼科診所,台中市西區英才路五○一號四樓,216002.63,2671643.322
197,游文治精神科診所,台中市西區中興里美村路一段二二三號一樓,215638.703,2671603.941
198,寶醫師診所,台中市西區中興里向上北路一○五巷二之一號一樓,215550.253,2671417.802
199,睿明眼科診所,台中市西區東興路３段８８號１、２、３樓,214753.366,2671418.103
200,美村婦產科診所,台中市西區美村路１段５８８號１樓、２樓、３樓、４樓,215593.753,2670335.446
201,紐約整形外科診所,台中市西區中興街１９９號２樓之２,215737.972,2671752.432
202,宏安診所,台中市西區林森路２３９號３樓,216246.581,2670549.336
203,王煌輝內科診所,台中市西區林森路２２６號１樓,216175.002,2670676.694
204,陳世杰診所,台中市西區中美街１５５號１樓,215450.674,2671254.173
205,日健診所,台中市西區台灣大道二段２１８號１７樓,216372.891,2671908.211
206,環球佳麗診所,台中市西區公益路１５２之１號２樓,215421.424,2671811.703
207,三世聯合診所林芳如皮膚科診所,台中市西區五權路２９號２樓,216426.91,2671035.955
208,光采整形外科診所,台中市西區美村路一段５８５號１樓,215634.253,2670363.217
209,耀森內科診所,台中市西區模範街１巷９號１樓,216061.071,2671349.572
210,美麗兒小兒科診所,台中市西區向上路１段２４６號１樓,215303.723,2671329.822
211,佑全診所,台中市西區五權路２－４３號１、２樓,216201.032,2670718.955
212,明田維格診所,台中市西區南屯路１段３０號１樓、２樓及３樓,216214.581,2669715.078
213,新奇美診所,台中市西區忠明路１號１、２樓,215537.793,2672710.078
214,忠誠診所,台中市西區忠誠街７０之２號１樓,215507.779,2671971.001
215,洪勖峰皮膚科診所,台中市西區臺灣大道２段 １０５號１樓,216528.603,2671657.532
216,杏倫皮膚科診所,台中市西區向上路１段４２號１樓,216083.852,2671330.572
217,承品診所,台中市西區美村路１段１５０號１樓,215600.703,2671733.452
218,康普頓診所,台中市西區五權三街５７號１樓,215795.602,2670333.645
219,芳生診所,台中市西區美村路１段６４２號１樓,215596.964,2670156.217
220,康貝兒小兒科診所,台中市西區向上路１段５５３號１樓,214577.796,2671299.433
221,長春診所,台中市西區臺灣大道２段５０１號３樓之１、３樓之２、５樓之１,215428.284,2672367.879
222,曾憲彰耳鼻喉科診所,台中市西區五權西路１段２７５號１樓,214968.47,2670559.643
223,劉平昌診所,台中市南區福興里福新街６３號,216213.821,2668955.33
224,復興家庭醫學科診所,台中市南區復興里復興路三段２３５號,217037.299,2669635.548
225,羅倫檭診所,台中市南區國光里仁和路１８５號,217530.638,2669079.461
226,益壽診所,台中市南區和平里復興路二段２８號,215370.815,2668139.694
227,邦仁內兒科診所,台中市南區江川里建成路１６９１號,216796.359,2669040.591
228,王昌平神經精神科診所,台中市南區南興里復興路三段471號1F,217611.443,2669895.401
229,清仁診所,台中市南區福平里文林街１６號,215880.872,2669074.841
230,林志明內兒科診所,台中市南區建成路１５５０號１樓,217208.429,2669082.12
231,詹伍郎診所,台中市南區江川里五權南路２８４號,216481.78,2668704.961
232,彭診所,台中市南區福平里復興路二段１０８－３號,215874.274,2668897.432
233,李榮龍內科診所,台中市南區台中路５１８號,217859.106,2668717.521
234,蘇耳鼻喉科診所,台中市南區復興路２段３８-３８之１號,215475.383,2668327.001
235,李宜瑞診所,台中市南區城隍里忠孝路１０１號,217336.228,2669274.949
236,洪金三診所,台中市南區和平里復興路二段６８號,215562.383,2668452.313
237,黃文忠診所,台中市南區江川里五權南路３０１號,216481.543,2668664.702
238,林恆立耳鼻喉科診所,台中市南區民主里復興路３段３３９號１Ｆ,217274.027,2669748.919
239,楊基瓏耳鼻喉科診所,台中市南區新榮里復興路三段１４８–２號,216564.662,2669454.822
240,千田婦產科診所,台中市南區樹義里復興路一段２６１號,214578.157,2667545.004
241,伸安診所,台中市南區樹義里復興路一段３３３號一樓,214835.666,2667742.345
242,陳德義小兒科診所,台中市南區美村南路１４７號１樓,216112.361,2667960.282
243,文聖診所,台中市南區復興路一段３６８號１樓、３７０號１樓,215049.557,2667865.981
244,愛鄰復健科診所,台中市南區建成路１１６０號１－３樓,217487.378,2669201.081
245,康乃文診所,台中市南區西川里三民西路２３２號,215555.144,2669492.458
246,陳豪江診所,台中市南區復興路２段９８號、１００號１樓,215710.88,2668663.964
247,廖至杰耳鼻喉科診所,台中市南區樹義里復興路１段４１５號１樓,214887.435,2667788.453
248,王振偉小兒科診所,台中市南區西川里南屯路１段２７１號,215076.147,2669919.538
249,陳鉉煒小兒科診所,台中市南區台中路１５６號１樓.１５６之１號１樓,217918.765,2669577.677
250,順生診所,台中市南區美村南路２０３號１樓,216114.125,2667805.321
251,林志鴻小兒科診所,台中市南區永興里美村南路１９９號１樓,216114.443,2667817.518
252,永和耳鼻喉科診所,台中市南區永興里工學路１３–２２號１Ｆ,216102.602,2667987.583
253,李啟澤診所,台中市南區永興里高工路２５８號１樓,215922.351,2667640.038
254,宜群診所,台中市南區樹義里樹義五巷１３７弄２６號１樓,214911.717,2667206.097
255,治明眼科診所,台中市南區樹義里復興路１段３０４號１Ｆ,214749.654,2667664.659
256,明選眼科診所,台中市南區高工路266巷3號1樓,215948.755,2667598.359
257,謝耀元婦產科診所,台中市南區台中路１２號１、２、３樓,217715.856,2670027.708
258,家康診所,台中市南區文心南路９２３號１、２樓,215460.915,2667265.635
259,薇風診所,台中市南區工學路８－３號１樓,216206.513,2668026.469
260,袁上雯皮膚科診所,台中市南區高工路３２５號１樓,216045.802,2667707.774
261,陽明復健科診所,台中市南區國光路６２號、６２－１號、６２－２號、６２－３號,217146.054,2669587.137
262,博仁診所,台中市北區健行里西屯路一段３５１－８，３５１–９號,216053.231,2672710.449
263,中新小兒科診所,台中市北區金龍里三民路三段２６７號,218262.146,2672365.41
264,蕭耳鼻咽喉科診所,台中市北區三民路三段３０５－２號,218357.79,2672448.91
265,林皮膚科診所,台中市北區中清路１段７７號,217178.587,2672156.319
266,周小兒科診所,台中市北區文莊里篤行路２８５號,216819.269,2672046.7
267,洪清一外婦產科診所,台中市北區中清路１段１７９號１樓,217094.747,2672445.95
268,李金聲眼科診所,台中市北區進化北路２３１-２號１樓及４樓,217923.576,2673086.316
269,吳志中診所,台中市北區賴村里健行路５１０號　,217421.196,2672701.768
270,林燄小兒科診所,台中市北區育德里健行路６５９號,216917.929,2672672.068
271,十全眼科診所,台中市北區錦和里三民路３段１０３號,217775.456,2671406.572
272,弘安家庭醫學科診所,台中市北區賴明里天津路２段１６６號,217148.508,2673861.365
273,紀外科泌尿科診所,台中市北區梅亭街４７９號,217152.768,2672812.708
274,蘇振源內科小兒科診所,台中市北區頂厝里崇德路一段５７５號,217978.445,2673495.577
275,廣承外科診所,台中市北區中清路１段 ３２號１樓,217228.698,2671903.071
276,成峰內科小兒科診所,台中市北區中清路一段６１７號１樓,216675.109,2673878.935
277,廖家庭醫學科診所,台中市北區南靖里中正路３４９號１樓,217053.269,2671170.753
278,趙婦產科診所,台中市北區高風里民族路３２６號,216763.76,2671186.453
279,林健家庭醫學科診所,台中市北區錦祥里進化路６４３號,218908.402,2672883.389
280,視保眼科診所,台中市北區建興里健行路３５８號,217770.736,2672696.049
281,陳萬得小兒科診所,台中市北區頂厝里進化北路３００號,217748.046,2673144.267
282,德美內科診所,台中市北區建興里崇德路一段１４７號,217971.586,2672960.699
283,周學儉家庭醫學科診所,台中市北區育樂街２-１４號１樓,218900.622,2672445.531
284,賴文鐘外科診所,台中市北區高風里民族路２６３號,216761.95,2671154.373
285,蔡崇仁家庭醫學科診所,台中市北區賴村里健行路５２８號,217375.157,2672705.449
286,景新診所,台中市北區中清路１段２２１號１樓,217035.029,2672648.069
287,鄭俊智診所,台中市北區漢口路４段５０號,216959.519,2673532.637
288,群生診所,台中市北區錦祥里進化路６２５－５號,218890.833,2672866.139
289,傅婦產科診所,台中市北區五權路３２７號,217391.268,2671918.821
290,和興診所,台中市北區健行路８７０-１號１樓,216328.166,2672731.492
291,洪振民耳鼻喉科診所,台中市北區中清路１段６１２號１樓、６２０號１樓 ,216793.989,2673696.064
292,黃婦產科診所,台中市北區遠志里民族路２４８號,216911.684,2671032.358
293,林如熊內小兒科診所,台中市北區錦祥里北屯路２８號,218770.212,2672949.898
294,清榮皮膚泌尿科診所,台中市北區南靖里中正路３８９號　,217086.478,2671230.453
295,錦田診所,台中市北區錦祥里進化路６６１號１樓,218892.583,2672915.929
296,葉慧娜婦產科診所,台中市北區金龍里三民路三段３３０號１，２樓,218410.804,2672501.819
297,蓮華診所,台中市北區頂厝里崇德路１段６３９號,217988.405,2673650.697
298,張瑞芳診所,台中市北區大安里原子街９１號,216960.799,2671360.083
299,太原診所,台中市北區明德里太原路一段５３２號３樓,216502.856,2673312.325
300,施永泰小兒科診所,台中市北區建興里梅亭街２００號,217924.956,2672823.219
301,惟德內科診所,台中市北區錦南街４２－１號,218257.424,2672170.301
302,三民診所,台中市北區三民路三段１２４號,217939.035,2671708.501
303,上傑診所,台中市北區山西路二段６６號,217039.358,2673947.444
304,維一診所,台中市北區太原路一段２２０號,215953.002,2673296.206
305,白家庭醫學科診所,台中市北區益華街６２號,218422.114,2672708.99
306,成美皮膚科診所,台中市北區新北里三民路三段２１０–２號　,218209.204,2672198.575
307,展弘耳鼻喉科診所,台中市北區賴厝里漢口路四段３２２號１．２樓３２６號２樓,217736.405,2673540.507
308,衛道耳鼻喉科診所,台中市北區進化北路３７８–７號,218304.394,2673153.686
309,詹眼科診所,台中市北區明德里西屯路一段３８８之３號,215842.302,2673021.867
310,學仕診所,台中市北區建興里學士路２８０．２８２號１＋２Ｆ,217599.856,2673037.816
311,江耳鼻喉科診所,台中市北區學士路３１２號１樓,217592.348,2673068.203
312,巧比小兒科診所,台中市北區賴興里北平路二段４３號,217005.905,2674068.504
313,康暉耳鼻喉科診所,台中市北區中清路１段７９８號１樓,216684.594,2674040.058
314,秦華強骨科診所,台中市北區興進路１２７號１．２．３Ｆ,219050.302,2672241.811
315,郭耳鼻喉科診所,台中市北區賴村里健行路５９４號１、２樓,217180.798,2672711.078
316,洪亮診所,台中市北區健行里民權路５３３號,216504.829,2672886.578
317,現代診所,台中市北區頂庴里進化北路１６３號,218136.245,2673090.666
318,佑生診所,台中市北區三民路三段７５號,217744.657,2671308.284
319,承鴻耳鼻喉科診所,台中市北區中清路１段８３０號１樓,216664.494,2674163.876
320,文冠內科診所,台中市北區學士路２５５.２５７號５樓,217591.331,2673084.12
321,陳正豊內科診所,台中市北區北平路２段８０號１樓,216935.257,2674041.759
322,江坤燦小兒科診所,台中市北區頂厝里進化北路１１８巷５１．５３號１樓,217837.486,2673302.637
323,承林整形外科診所,台中市北區進化北路３７０號１樓,217540.946,2673148.447
324,施俊哲診所,台中市北區忠明路５１０號１Ｆ,216857.589,2673075.566
325,賴啟賢皮膚科診所,台中市北區錦洲里進化路６３２之１，６３６號１，２Ｆ,218969.171,2672800.578
326,真善美眼科診所,台中市北區錦和里三民路３段２２１號１Ｆ,218056.935,2672114.35
327,新馬偕婦產科診所,台中市北區頂厝里漢口路四段３２０號,217885.478,2673537.907
328,大葉診所,台中市北區五權路１５６號１樓,216953.128,2671513.961
329,黃頤耳鼻喉科診所,台中市北區頂厝里進化北路１０１．１０３號,217635.363,2673152.734
330,德化耳鼻喉科診所,台中市北區金龍里北屯路７３巷５號１Ｆ,218643.763,2672909.929
331,仟順診所,台中市北區崇德里崇德路１段５０２號,218018.622,2673275.117
332,謝佳璋小兒科診所,台中市北區漢口路４段３５７號１至４樓,217729.484,2673575.186
